,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
568797.3,0,1,0,0,0,0,0,1,1,6,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
568897.3,0,1,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
568997.3,0,1,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
569097.3,0,2,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
569197.3,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
569297.3,0,1,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0
569397.3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0
569497.3,1,2,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
569597.3,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
569697.3,0,2,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
569797.3,0,2,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0
569897.3,0,1,1,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0
569997.3,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
570097.3,0,0,0,0,1,0,1,0,7,0,1,2,0,0,0,1,0,0,0,0,3,3,0,0,1,0,1,0,0,0,0
570197.3,0,0,0,0,2,1,1,0,3,1,0,6,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
570297.3,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
570397.3,0,0,0,0,2,0,0,0,2,2,0,3,0,1,0,3,0,0,0,0,1,1,0,0,3,0,1,0,0,0,0
570497.3,0,0,0,0,1,1,0,0,4,3,0,2,0,0,1,3,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0
570597.3,2,1,0,0,2,0,0,0,4,0,0,10,0,0,0,1,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0
570697.3,0,0,0,0,0,0,0,0,5,0,0,5,0,1,0,3,0,0,0,0,4,0,0,0,2,0,1,0,0,0,0
570797.3,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0
570897.3,0,1,1,0,0,0,0,0,4,1,1,3,0,0,0,1,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0
570997.3,0,1,0,0,1,0,0,0,2,1,0,2,0,0,1,1,0,0,0,0,1,2,0,0,5,0,2,0,0,0,0
571097.3,0,1,0,0,0,0,0,0,2,1,0,0,0,1,2,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0
