,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,correct
2047999.6,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,0,0,0,0,1,4,2,2,0,0,0,1,0,0,0,0,1
2048099.6,0,1,0,0,2,0,1,0,2,4,0,0,0,0,0,0,1,0,0,0,11,0,1,0,1,0,0,0,0,0,0,1
2048199.6,0,0,0,0,1,1,1,0,3,1,0,0,0,0,0,1,0,0,0,0,9,0,1,0,0,0,3,0,0,0,0,1
2048299.6,0,0,0,0,1,0,0,0,5,6,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,2,0,0,0,0,1
2048399.6,0,0,0,0,0,0,0,0,2,7,0,0,0,0,1,0,0,0,1,0,6,6,3,0,4,0,1,0,0,0,0,1
2048499.6,0,1,0,0,1,0,1,0,3,4,0,0,0,0,0,1,4,0,0,0,6,0,1,0,6,0,1,0,0,0,0,1
2048599.6,0,0,0,0,0,0,1,0,4,2,0,1,0,0,0,0,0,0,0,0,12,0,0,0,5,0,1,0,0,0,0,1
2048699.6,0,0,0,1,1,0,0,0,5,5,0,0,0,0,1,0,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,1
2048799.6,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,6,6,1,0,1,0,1,0,0,0,0,1
2048899.6,0,3,0,1,1,0,0,0,0,2,0,0,0,0,1,1,3,0,1,0,5,1,2,0,1,0,1,0,0,0,0,1
2048999.6,0,1,0,1,2,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,1,3,1,0,4,0,1,0,0,0,0,1
2049099.6,0,2,0,2,2,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,5,6,2,0,0,0,1,0,0,0,0,1
2049199.6,0,2,0,1,2,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,5,1,4,0,0,0,1,0,0,0,0,1
