,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
5365468.0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
5365568.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,1,0,0,0,0
5365668.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,7,2,0,0,0,0,1,0,0,0,0
5365768.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0
5365868.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
5365968.0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5366068.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0
5366168.0,0,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
5366268.0,0,0,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
5366368.0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,1,0,0,0,0
5366468.0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,1,0,0,0,0
5366568.0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0
5366668.0,0,0,2,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,2,2,0,0,2,0,0,0,0,0,0
5366768.0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0
5366868.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5366968.0,1,1,1,0,1,0,1,1,0,3,0,0,0,0,1,2,0,0,0,0,4,1,0,0,1,0,1,0,0,0,0
5367068.0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
5367168.0,0,4,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
5367268.0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
5367368.0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0
5367468.0,0,1,0,0,0,1,0,0,1,5,0,0,0,0,0,1,0,1,0,0,3,2,0,0,1,0,0,0,0,0,0
5367568.0,0,2,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,0,1,0,0,0,0
